Device: cuda

Training GNN-IL — 5 UEs, 2 UAVs, 500 episodes
GNN: hidden=64, out=32  | enriched_dim=43

 Episode     AvgCost        Loss     Eps
------------------------------------------
      25      0.5976      0.5243   0.887
      50      0.6080      0.5576   0.782
      75      0.5722      0.5043   0.690
     100      0.6692      0.4512   0.609
     125      0.6683      0.4399   0.537
     150      0.6699      0.4214   0.474
     175      0.6197      0.4302   0.418
     200      0.5654      0.3842   0.369
     225      0.5691      0.4032   0.325
     250      0.6594      0.2980   0.287
     275      0.5703      0.2797   0.253
